ITEM_ID,PRICE,CATEGORY_L1,TITLE,DESCRIPTION
91,42.00,Music,Wireless Microphone,"High-quality sound. Comes with charger, minimal wear"
92,38.00,Clothing,Jumpsuit (S),"Black, sleeveless. Stretchy material, worn once, back zipper"
93,23.00,Books,Robotics and Automation,"Hardcover. Detailed diagrams, lightly annotated"
94,95.00,Art,Easel,"Adjustable wooden design. Sturdy and foldable, barely used"
95,21.00,Beauty,Night Cream,"Hydrating formula. Suitable for all skin types, 80% left"
96,15.00,Music,Sheet Music Stand,"Lights included. Adjustable height, metal design"
97,31.00,Clothing,Workout Set (M),"Includes top and shorts. Breathable fabric, neon colors"
98,16.00,Books,Classic Literature Set,"3 famous novels. Hardcover, vintage editions"
99,55.00,Art,Origami Paper Set,"500 sheets, various colors. High-quality, non-fading"
100,20.00,Beauty,Body Lotion Set,"Set of 3. Floral scents, new and sealed"
101,40.00,Music,Recorder,"Wooden design. Suitable for beginners, comes with cleaning rod"
102,33.00,Clothing,Wool Coat (L),"Dark gray. Double-breasted, lightly worn, warm lining"
103,19.00,Books,Graphic Design Fundamentals,"Softcover. Inspiring examples, minimal wear"
104,105.00,Art,Ink Drawing Kit,"Includes 5 inks. High-quality nibs, new and unused"
105,8.00,Beauty,Facial Mask,"Detoxifying clay mask. Suitable for oily skin, new in box"
106,32.00,Music,Ear Training Book,"Essential for musicians. Includes CD, minimal annotations"
107,29.00,Clothing,Sandals (Size 6),"Brown leather. Strappy design, comfy sole, lightly worn"
108,18.00,Books,Quantum Physics Explained,"Hardcover. Intuitive examples, no markings"
109,80.00,Art,Acrylic Pouring Set,"Includes 12 colors. All materials included, new"
110,12.00,Beauty,Face Mask Brush,"Silicone applicator. New in package, easy to clean"
111,25.00,Music,Tambourine,"Wooden frame. Bright jingles, good condition"
112,36.00,Clothing,Bikini Set (M),"Floral pattern. Never worn, tags attached, adjustable straps"
113,15.00,Books,Modern Poetry Compilation,"Softcover. Collection of contemporary poets"
114,100.00,Art,Pastel Set,"48 colors. High pigmentation, barely used"
115,7.00,Beauty,Brow Gel,"Clear formula. Waterproof, new in box"
